---
pid: 127736
cwd: /home/broz/code/rockcap/src
active_command: npm run dev
last_exit_code: 127
---
-14&series=trades 200 in 1683ms (compile: 10ms, render: 1674ms)
 GET /api/backtest/data?date=2025-11-13&series=candles 200 in 8ms (compile: 2ms, render: 6ms)
 GET /api/backtest/data?date=2025-11-13&series=trades 200 in 840ms (compile: 9ms, render: 831ms)
 GET /api/backtest/data?date=2025-11-12&series=candles 200 in 10ms (compile: 2ms, render: 8ms)
 GET /api/backtest/data?date=2025-11-12&series=trades 200 in 102ms (compile: 11ms, render: 91ms)
 GET /api/backtest/data?date=2025-11-11&series=candles 200 in 15ms (compile: 3ms, render: 12ms)
 GET /api/backtest/data?date=2025-11-11&series=trades 200 in 111ms (compile: 16ms, render: 95ms)
 GET /api/backtest/data?date=2025-11-10&series=candles 200 in 83ms (compile: 78ms, render: 5ms)
 GET /api/backtest/data?date=2025-11-10&series=trades 200 in 91ms (compile: 1993µs, render: 89ms)
 GET /api/backtest/data?date=2025-11-07&series=candles 200 in 7ms (compile: 1716µs, render: 6ms)
 GET /api/backtest/data?date=2025-11-07&series=trades 200 in 90ms (compile: 8ms, render: 82ms)
 GET /api/backtest/data?date=2025-11-06&series=candles 200 in 16ms (compile: 8ms, render: 8ms)
 GET /api/backtest/data?date=2025-11-06&series=trades 200 in 97ms (compile: 11ms, render: 86ms)
 GET /api/backtest/data?date=2025-11-05&series=candles 200 in 9ms (compile: 1934µs, render: 7ms)
 GET /api/backtest/data?date=2025-11-05&series=trades 200 in 83ms (compile: 10ms, render: 73ms)
 GET /api/backtest/data?date=2025-11-04&series=candles 200 in 9ms (compile: 1817µs, render: 7ms)
 GET /api/backtest/data?date=2025-11-04&series=trades 200 in 86ms (compile: 9ms, render: 76ms)
 GET /api/backtest/data?date=2025-11-03&series=candles 200 in 20ms (compile: 11ms, render: 10ms)
 GET /api/backtest/data?date=2025-11-03&series=trades 200 in 91ms (compile: 14ms, render: 77ms)
 GET /api/backtest/data?date=2025-10-31&series=candles 200 in 23ms (compile: 11ms, render: 12ms)
 GET /api/backtest/data?date=2025-10-31&series=trades 200 in 100ms (compile: 16ms, render: 84ms)
 GET /api/backtest/data?date=2025-10-30&series=candles 200 in 5ms (compile: 1039µs, render: 4ms)
 GET /api/backtest/data?date=2025-10-29&series=candles 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/backtest/data?date=2025-10-29&series=trades 200 in 68ms (compile: 8ms, render: 60ms)
 GET /api/backtest/data?date=2025-10-28&series=candles 200 in 8ms (compile: 1879µs, render: 6ms)
 GET /api/backtest/data?date=2025-10-27&series=candles 200 in 5ms (compile: 935µs, render: 4ms)
 GET /api/backtest/data?date=2025-10-28&series=trades 200 in 68ms (compile: 9ms, render: 59ms)
 GET /api/backtest/data?date=2025-10-27&series=trades 200 in 50ms (compile: 1274µs, render: 49ms)
 GET /api/backtest/data?date=2025-10-24&series=candles 200 in 6ms (compile: 1368µs, render: 4ms)
 GET /api/backtest/data?date=2025-10-30&series=trades 200 in 2.4s (compile: 7ms, render: 2.4s)
 GET /api/backtest/data?date=2025-10-24&series=trades 200 in 82ms (compile: 6ms, render: 76ms)
 GET /api/backtest/data?date=2025-10-23&series=candles 200 in 5ms (compile: 1180µs, render: 4ms)
 GET /api/backtest/data?date=2025-10-23&series=trades 200 in 57ms (compile: 5ms, render: 52ms)
 GET /api/backtest/data?date=2025-10-22&series=candles 200 in 6ms (compile: 1569µs, render: 4ms)
 GET /api/backtest/data?date=2025-10-21&series=candles 200 in 11ms (compile: 2ms, render: 9ms)
 GET /api/backtest/data?date=2025-10-21&series=trades 200 in 86ms (compile: 1889µs, render: 84ms)
 GET /api/backtest/data?date=2025-10-20&series=candles 200 in 5ms (compile: 1232µs, render: 4ms)
 GET /api/backtest/data?date=2025-10-17&series=candles 200 in 6ms (compile: 1263µs, render: 5ms)
 GET /api/backtest/data?date=2025-10-20&series=trades 200 in 64ms (compile: 786µs, render: 63ms)
 GET /api/backtest/data?date=2025-10-17&series=trades 200 in 102ms (compile: 1323µs, render: 101ms)
 GET /api/backtest/data?date=2025-10-16&series=candles 200 in 10ms (compile: 6ms, render: 4ms)
 GET /api/backtest/data?date=2025-10-22&series=trades 200 in 8.6s (compile: 4ms, render: 8.6s)
 GET /api/backtest/data?date=2025-10-15&series=candles 200 in 12ms (compile: 6ms, render: 6ms)
 GET /api/backtest/data?date=2025-10-16&series=trades 200 in 14.8s (compile: 961µs, render: 14.8s)
 GET /api/backtest/data?date=2025-10-15&series=trades 200 in 8.7s (compile: 9ms, render: 8.7s)
 GET /api/backtest/data?date=2025-10-14&series=candles 200 in 12ms (compile: 3ms, render: 10ms)
 GET /api/backtest/data?date=2025-10-14&series=trades 200 in 193ms (compile: 13ms, render: 181ms)
 GET /api/backtest/data?date=2025-10-13&series=candles 200 in 22ms (compile: 10ms, render: 12ms)
 GET /api/backtest/data?date=2025-10-13&series=trades 200 in 157ms (compile: 17ms, render: 140ms)
 GET /api/backtest/data?date=2025-10-10&series=candles 200 in 21ms (compile: 10ms, render: 10ms)
 GET /api/backtest/data?date=2025-10-10&series=trades 200 in 120ms (compile: 15ms, render: 105ms)
 GET /api/backtest/data?date=2025-10-09&series=candles 200 in 12ms (compile: 3ms, render: 9ms)
 GET /api/backtest/data?date=2025-10-09&series=trades 200 in 107ms (compile: 13ms, render: 95ms)
 GET /api/backtest/data?date=2025-10-08&series=candles 200 in 12ms (compile: 2ms, render: 9ms)
 GET /api/backtest/data?date=2025-10-08&series=trades 200 in 94ms (compile: 13ms, render: 81ms)
 GET /api/backtest/data?date=2025-10-07&series=candles 200 in 7ms (compile: 1348µs, render: 5ms)
 GET /api/backtest/data?date=2025-10-07&series=trades 200 in 65ms (compile: 7ms, render: 58ms)
 GET /api/backtest/data?date=2025-10-06&series=candles 200 in 15ms (compile: 3ms, render: 12ms)
 GET /api/backtest/data?date=2025-10-06&series=trades 200 in 108ms (compile: 16ms, render: 92ms)
 GET /api/backtest/data?date=2025-10-03&series=candles 200 in 9ms (compile: 1845µs, render: 7ms)
 GET /api/backtest/data?date=2025-10-03&series=trades 200 in 74ms (compile: 9ms, render: 65ms)
 GET /api/backtest/data?date=2025-11-28&series=trades 200 in 28ms (compile: 1798µs, render: 27ms)
 GET /api/backtest/data?date=2025-11-28&series=candles 200 in 36ms (compile: 30ms, render: 5ms)
 GET / 200 in 90ms (compile: 4ms, render: 85ms)
 GET /api/backtest/dates 200 in 4ms (compile: 1381µs, render: 2ms)
